Title,Price,Link,Page
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey","₹ 12,990",https://amazon.in/Neopticon-BrowseBook-Student-Celeron-Windows/dp/B0FC64RYH1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSoxC0zkWM4esZ9IQhAM_RZRP7uGCrXbwshj7_M6PDqgadGCgZkqn9uqqnfpP2y5oXK0lvyecjHOmDmbJZMatCcGTP0LsCVyAtXKM9AP1Ls_voHesHNDp4F_506E93nnp7cDkES58h9C5OeVu24-tHymQDTie3uamxgFp_HZmeW9bzt42JMMwlvJNXpuIbtogH1KJ--vZ15O4ipd3dw8POx1Y.DC6M5cRUGN0Nhll6zKUvY9MxAcqkkGqy9Xbj2FrkFYc&dib_tag=se&keywords=laptop&qid=1767899728&sr=8-3,1
"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop","₹ 32,490",https://amazon.in/HP-Anti-Glare-Micro-Edge-Office24-fc0500AU/dp/B0FJYJ8LVY/ref=sr_1_4?dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSoxC0zkWM4esZ9IQhAM_RZRP7uGCrXbwshj7_M6PDqgadGCgZkqn9uqqnfpP2y5oXK0lvyecjHOmDmbJZMatCcGTP0LsCVyAtXKM9AP1Ls_voHesHNDp4F_506E93nnp7cDkES58h9C5OeVu24-tHymQDTie3uamxgFp_HZmeW9bzt42JMMwlvJNXpuIbtogH1KJ--vZ15O4ipd3dw8POx1Y.DC6M5cRUGN0Nhll6zKUvY9MxAcqkkGqy9Xbj2FrkFYc&dib_tag=se&keywords=laptop&qid=1767899728&sr=8-4,1
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","₹ 40,490",https://amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSoxC0zkWM4esZ9IQhAM_RZRP7uGCrXbwshj7_M6PDqgadGCgZkqn9uqqnfpP2y5oXK0lvyecjHOmDmbJZMatCcGTP0LsCVyAtXKM9AP1Ls_voHesHNDp4F_506E93nnp7cDkES58h9C5OeVu24-tHymQDTie3uamxgFp_HZmeW9bzt42JMMwlvJNXpuIbtogH1KJ--vZ15O4ipd3dw8POx1Y.DC6M5cRUGN0Nhll6zKUvY9MxAcqkkGqy9Xbj2FrkFYc&dib_tag=se&keywords=laptop&qid=1767899728&sr=8-5,1
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue","₹ 92,900",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NTI2NTEyMzM3MDgxMDIyOjE3Njc4OTk3Mjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ5OTQ1MzM0NzQzMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDDQ429%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DZDDQ429%26pd_rd_r%3Dec04c279-0d28-429d-926f-5165f623a2ae%26pd_rd_w%3DAwGZl%26pd_rd_wg%3D43Zux%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DYMEDCAAMZ57AVNXC20TD%26qid%3D1767899728%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DzsKjVxuqwq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zsKjVxuqwq&sp_cr=ZAZ,1
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 512GB SSD Storage; Silver","₹ 2,79,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NTI2NTEyMzM3MDgxMDIyOjE3Njc4OTk3Mjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM5Mjk2MzMyNjkzMjo6MTo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-20%25E2%2580%2591core%2Fdp%2FB0DLJ7SJRK%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DLJ7SJRK%26pd_rd_r%3Dec04c279-0d28-429d-926f-5165f623a2ae%26pd_rd_w%3DAwGZl%26pd_rd_wg%3D43Zux%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DYMEDCAAMZ57AVNXC20TD%26qid%3D1767899728%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DFYrZffTVjO%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=FYrZffTVjO&sp_cr=ZAZ,1
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","₹ 1,59,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NTI2NTEyMzM3MDgxMDIyOjE3Njc4OTk3Mjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ5OTQ1MzM0ODYzMjo6Mjo6&url=%2FApple-MacBook-15-inch-10-core-Unified%2Fdp%2FB0DZDQR47H%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DZDQR47H%26pd_rd_r%3Dec04c279-0d28-429d-926f-5165f623a2ae%26pd_rd_w%3DAwGZl%26pd_rd_wg%3D43Zux%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DYMEDCAAMZ57AVNXC20TD%26qid%3D1767899728%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DkbbKwZw3nh%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=kbbKwZw3nh&sp_cr=ZAZ,1
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Silver","₹ 2,02,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NTI2NTEyMzM3MDgxMDIyOjE3Njc4OTk3Mjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDc5NDY5ODUxMTUzMjo6Mzo6&url=%2FApple-2025-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0FWD8F8TN%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FWD8F8TN%26pd_rd_r%3Dec04c279-0d28-429d-926f-5165f623a2ae%26pd_rd_w%3DAwGZl%26pd_rd_wg%3D43Zux%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DYMEDCAAMZ57AVNXC20TD%26qid%3D1767899728%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DnB5YejcldN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=nB5YejcldN&sp_cr=ZAZ,1
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Space Black","₹ 1,83,490",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NTI2NTEyMzM3MDgxMDIyOjE3Njc4OTk3Mjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDc5NDY5ODUxMTQzMjo6NDo6&url=%2FApple-2025-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0FWD7KG7N%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FWD7KG7N%26pd_rd_r%3Dec04c279-0d28-429d-926f-5165f623a2ae%26pd_rd_w%3DAwGZl%26pd_rd_wg%3D43Zux%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DYMEDCAAMZ57AVNXC20TD%26qid%3D1767899728%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3Dixd3LEVk9Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=ixd3LEVk9Y&sp_cr=ZAZ,1
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver, 1.59kg, FD0552TU, Iris Xe, FHD Camera w/Shutter, Backlit Laptop","₹ 57,990",https://amazon.in/HP-i5-1334U-Anti-Glare-Micro-Edge-FD0552TU/dp/B0F671GG5M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSoxC0zkWM4esZ9IQhAM_RZRP7uGCrXbwshj7_M6PDqgadGCgZkqn9uqqnfpP2y5oXK0lvyecjHOmDmbJZMatCcGTP0LsCVyAtXKM9AP1Ls_voHesHNDp4F_506E93nnp7cDkES58h9C5OeVu24-tHymQDTie3uamxgFp_HZmeW9bzt42JMMwlvJNXpuIbtogH1KJ--vZ15O4ipd3dw8POx1Y.DC6M5cRUGN0Nhll6zKUvY9MxAcqkkGqy9Xbj2FrkFYc&dib_tag=se&keywords=laptop&qid=1767899728&sr=8-6,1
"Acer Aspire 3, Intel Core Celeron N4500, 12GB LPDDR4 RAM, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Silver, 1.3KG, A324-45, Thin and Light Laptop","₹ 27,990",https://amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSoxC0zkWM4esZ9IQhAM_RZRP7uGCrXbwshj7_M6PDqgadGCgZkqn9uqqnfpP2y5oXK0lvyecjHOmDmbJZMatCcGTP0LsCVyAtXKM9AP1Ls_voHesHNDp4F_506E93nnp7cDkES58h9C5OeVu24-tHymQDTie3uamxgFp_HZmeW9bzt42JMMwlvJNXpuIbtogH1KJ--vZ15O4ipd3dw8POx1Y.DC6M5cRUGN0Nhll6zKUvY9MxAcqkkGqy9Xbj2FrkFYc&dib_tag=se&keywords=laptop&qid=1767899728&sr=8-7,1
